Question,PossibleAnswer1,PossibleAnswer2,PossibleAnswer3,PossibleAnswer4,CorrectAnswer,Explanation,PicturePaths,Tags
What will be the value of the following Python expression?,4,7,2,0,B,"In Python, the modulus operator % has higher precedence than addition +. So, the expression is evaluated as 4 + (3 % 5), which is 4 + 3 = 7.",python12.png,"Beginner,Precedence and Associativity"
Evaluate the expression if A = 16 and B = 15.,0,0,1,1,B,"The expression A % B // A becomes 16 % 15 // 16, which simplifies to 1 // 16. Using floor division, the result is 0.",python13.png,"Intermediate,Precedence and Associativity"
Which of the following operators has its associativity from right to left?,=+,//,%,**,D,"Most operators in Python are left-associative, but the exponentiation operator ** is right-associative. So, 2 ** 3 ** 2 is evaluated as 2 ** (3 ** 2).",,"Beginner,Precedence and Associativity"
What will be the value of x in the following Python expression?,43,44,22,23,B,"The expression evaluates as int(43.55 + 1) → int(44.55), which results in 44 due to explicit conversion (truncates the decimal part).",python15.png,"Beginner,Precedence and Associativity"
What is the value of the following expression?,"(6.0, 16.0)","(6.00, 16.00)","(6, 16)","(6.00, 16.0)",A,"In Python, 2 + 4.00 results in 6.0 (float), and 2 ** 4.0 results in 16.0 because any operation involving a float yields a float. So, the final result is (6.0, 16.0).",python16.png,"Beginner,Precedence and Associativity"
Which of the following is the truncation division operator?,/,%,//,|,C,"// is the truncation (floor) division operator in Python. It returns only the integer part of the result by discarding the decimal part. For example, 20 // 3 gives 6.",,"Beginner,Precedence and Associativity"
What are the values of the following Python expressions?,"64, 512, 64","64, 64, 64","512, 512, 512","512, 64, 512",D,"Expression 1 is evaluated as 2**9, which is equal to 512. Expression 2 is evaluated as 8**2, which is equal to 64. The last expression is evaluated as 2**(3**2). This is because the associativity of ** operator is from right to left. Hence the result of the third expression is 512.",python18.png,"Expert,Precedence and Associativity"
What is the value of the following expression?,1.0 4.0,1.0 1.0,4.0 1.0,4.0 4.0,A,"The first part 8/4/2 is evaluated left to right: 2.0 / 2 = 1.0. The second part 8/(4/2) becomes 8/2 = 4.0. Hence, the result is 1.0 4.0.",python19.png,"Intermediate,Precedence and Associativity"
What is the value of the following expression?,8,8,8.3,8.33,B,"The given expression print(float(22 // 3 + 3 / 3)) involves both integer and float operations. First, the floor division 22 // 3 evaluates to 7 because it divides 22 by 3 and discards the decimal part. Next, the division 3 / 3 evaluates to 1.0 since it is a floating-point operation. When these two values are added — 7 + 1.0 — the result is 8.0, because adding an integer and a float results in a float. Finally, applying float() to 8.0 does not change its value. Therefore, the final output of the expression is 8.0.",python20.png,"Intermediate,Precedence and Associativity"
What will be the output of the following Python expression?,Error,1,1,1,B,"The expression evaluates as 4.00 / 4.0, which results in 1.0. Therefore, the output is 1.0.",python21.png,"Beginner,Precedence and Associativity"
What will be the value of X in the following Python expression?,30,30.8,28.4,27.2,D,"The expression shown above is evaluated as: 2+9*(36-8)/10, which simplifies to give 2+9*(2.8), which is equal to 2+25.2 = 27.2. Hence the result of this expression is 27.2.",python22.png,"Intermediate,Precedence and Associativity"
Which of the following expressions involves coercion when evaluated in Python?,4.7 – 1.5,7.9 * 6.3,1.7 % 2,3.4 + 4.6,C,"Coercion is the implicit (automatic) conversion of operands to a common type. Coercion is automatically performed on mixed-type expressions. The expression 1.7 % 2 is evaluated as 1.7 % 2.0 (that is, automatic conversion of int to float).",,"Intermediate,Precedence and Associativity"
What will be the output of the following Python expression?,1 3,0 3,1 0,3 1,A,"The expression 24 // 6 % 3, 24 // 4 // 2 evaluates to (1, 3) because the operations are performed from left to right, with 24 // 6 giving 4, followed by 4 % 3 resulting in 1, and 24 // 4 giving 6, followed by 6 // 2 resulting in 3.",python24.png,"Intermediate,Precedence and Associativity"
Which among the following list of operators has the highest precedence?,"<<, >>",**,|,%,B,"The highest precedence is that of the exponentiation operator, that is of **.",python25.png,"Beginner,Precedence and Associativity"
What will be the value of the following Python expression?,5,5,4,4,C,The above expression is an example of explicit conversion. It is evaluated as: float(4+int(2.39)%2) = float(4+2%2) = float(4+0) = 4.0. Hence the result of this expression is 4.0.,python26.png,"Intermediate,Precedence and Associativity"
Which of the following expressions is an example of type conversion?,4.0 + float(3),5.3 + 6.3,5.0 + 3,3 + 7,A,Type conversion is nothing but explicit conversion of operands to a specific type. Options 5.3 + 6.3 and 5.0 + 3 are examples of implicit conversion whereas option 4.0 + float(3) is an example of explicit conversion or type conversion.,,"Beginner,Precedence and Associativity"
Which of the following expressions results in an error?,float('10'),int('10'),float('10.8'),int('10.8'),D,"All of the expressions involve explicit type conversion. However, int(‘10.8’) results in an error because the int() function cannot convert a string with a decimal point into an integer. To convert a string with a decimal, it must first be converted to a float.",,"Beginner,Precedence and Associativity"
What will be the value of the following Python expression?,3,7,77,0,B,"The order of precedence is: **, //, +. The expression 4+2**5//10 is evaluated as 4+32//10, which is equal to 4+3 = 7. Hence the result of the expression is 7.",python29.png,"Intermediate,Precedence and Associativity"
What will be the output of x<<2 if x=1?,8,1,2,4,D,"The binary form of 1 is 0001. The expression x << 2 performs a bitwise left shift on x, which shifts the bits two positions to the left. This results in 0100, which is the binary form of 4. Therefore, the result is 4.",,"Intermediate,Bitwise"
What will be the output of print(bin(29))?,0b10111,0b11101,0b11111,0b11011,B,"The binary representation of the number 29 is 11101. In Python, the bin() function returns the binary representation of an integer prefixed with 0b, so the output will be 0b11101.",,"Intermediate,Bitwise"
What is the value of x if x>>2 results in 2?,8,4,2,1,A,"When the value of x is equal to 8 (1000), then x>>2 (bitwise right shift) yields the value 0010, which is equal to 2. Hence the value of x is 8.",,"Intermediate,Bitwise"
What will be the output of print(int(1011))?,1011,11,13,1101,A,The result of the expression shown will be 1011. This is because we have not specified the base in this expression. Hence it automatically takes the base as 10.,,"Intermediate,Bitwise"
"To find the decimal value of 1111 (binary), which function is used?","int(1111,10)","int('1111',10)","int(1111,2)","int('1111',2)",D,"The expression int(‘1111’, 2) converts the binary string ‘1111’ to its decimal equivalent, which is 15. The expression int(‘1111’, 10) would interpret ‘1111’ as a decimal number and return 1111.",,"Intermediate,Bitwise"
What will be the output of x & y if x=15 and y=12?,b1101,0b1101,12,1101,C,"The symbol ‘&’ represents bitwise AND. This operation gives 1 if both bits are equal to 1, otherwise, it gives 0. The binary form of 15 is 1111 and that of 12 is 1100. Performing the bitwise AND operation results in 1100, which is equal to 12.",,"Intermediate,Bitwise"
Which of the following expressions results in an error?,int(1011),"int('1011',23)","int(1011,2)",int('1011'),C,"The expression int(1011,2) results in an error because the first argument should be a string. If it was written as int(‘1011’,2), there would be no error.",,"Intermediate,Bitwise"
Which operator represents bitwise XOR?,&,^,|,!,B,"The ^ operator represents the bitwise XOR operation. & represents bitwise AND, | represents bitwise OR, and ! is typically used as a logical NOT in many programming languages (not a bitwise operator).",,"Intermediate,Bitwise"
What is the output of print(bin(0x8))?,0bx1000,8,1000,0b1000,D,"The prefix 0x specifies that the value is in hexadecimal. When we convert 0x8 to its binary form, we get 0b1000.",,"Intermediate,Bitwise"
What will be the output of print(0x35 | 0x75)?,115,116,117,118,C,"The binary value of 0x35 is 110101 and that of 0x75 is 1110101. Performing the bitwise OR operation on these values results in 1110101, which is equal to 117. Hence, the result of the expression is 117.",,"Intermediate,Bitwise"
The one’s complement of 110010101 is:,1101010,110010101,1101011,110010100,A,The one’s complement of a value is obtained by changing all 1s to 0s and all 0s to 1s. Hence the one’s complement of 110010101 is 001101010.,,"Intermediate,Bitwise"
Bitwise _________ gives 1 if either of the bits is 1 and 0 when both of the bits are 1.,OR,AND,XOR,NOT,C,Bitwise XOR gives 1 if the two bits are different and 0 if they are the same.,,"Intermediate,Bitwise"
What will be the output of the following Python expression?,2,4,8,12,C,"^ is the XOR operator. The binary form of 4 is 0100 and that of 12 is 1100. XOR results in 1000, which is 8.",python42.png,"Intermediate,Bitwise"
Any odd number on being AND-ed with ________ always gives 1.,10,2,1,0,C,"Any odd number AND-ed with 1 gives 1, while any even number AND-ed with 1 gives 0.",,"Intermediate,Bitwise"
What will be the value of the following Python expression?,0b10000,0b10001000,0b1000b1000,0b10000b1000,D,"The expression evaluates to '0b1000b1000' because both bin(10-2) and bin(12^4) produce '0b1000', which are concatenated.",python44.png,"Intermediate,Bitwise"
Which of the following expressions can be used to multiply a given number a by 4?,a<<2,a<<4,a>>2,a>>4,A,Left shifting a number by 2 bits multiplies it by 4.,,"Intermediate,Bitwise"
What will be the output of the following Python code if a=10 and b=20?,10 20,10 10,20 10,20 20,C,"The XOR swap algorithm swaps values without a temporary variable, resulting in 20 10.",python46.png,"Intermediate,Bitwise"
What is the two’s complement of -44?,1011011,11010100,11101011,10110011,B,"The one’s complement of 44 is 11010011, adding 1 gives the two’s complement 11010100.",,"Intermediate,Bitwise"
What will be the output of the following Python expression?,101,-101,100,-100,B,"The bitwise NOT operator in Python returns -(n+1), so ~100 equals -101.",python48.png,"Intermediate,Bitwise"
What will be the output of the given Python code snippet?,True True,False True,False False,True False,D,"Any non-empty string is considered True, so bool('False') is True. Calling bool() with no arguments returns False.",python49.png,"Beginner,Boolean"
What will be the output of the given Python code snippet?,error,no output,hello,morning,C,"The empty string evaluates to False, which corresponds to index 0, selecting 'hello' from the list.",python50.png,"Beginner,Boolean"
What will be the output of the given Python code snippet?,True True,True False,False True,False False,B,"not(3 > 4) evaluates to True because the comparison is False. The expression 1 & 1 equals 1, which is True, so not(1) evaluates to False.",python51.png,"Beginner,Boolean"
What will be the output of the given Python code?,t,f,No output,Error,A,"A non-empty string evaluates to True, which corresponds to index 1 in the list, returning 't'.",python52.png,"Beginner,Boolean"
What will be the output of the given Python code?,Error,"[1, 0, 2, 0, 'hello', '', []]","[1, 0, 2, 'hello', '', []]","[1, 2, 'hello']",D,"filter(bool, l) removes all elements that evaluate to False, leaving only truthy values.",python53.png,"Beginner,Boolean"
"What will be the output of the given Python code if the system date is 21st June, 2017 (Wednesday)?",[] {},[] [],{} [],{} {},C,The or operator returns the last evaluated operand when all operands are False. Both lists and dictionaries are False when empty.,python54.png,"Beginner,Boolean"
What will be the output of the given Python code?,pass,TRUE,FALSE,error,B,Instances of a class without __bool__ or __len__ methods evaluate to True by default.,python55.png,"Beginner,Boolean"
What will be the output of the given Python code?,error,hello,good,bad,C,"The first condition is False. The second condition evaluates to True because 9 > 0 is True, so the output is 'good'.",python56.png,"Beginner,Boolean"
Which of the following Boolean expressions is not logically equivalent to the others?,not(-6<0 or -6>10),-6>=0 and -6<=10,not(-6<10 or -6==10),not(-6>10 or -6==10),D,"The first three expressions evaluate to False, while the fourth evaluates to True.",,"Beginner,Boolean"
What will be the output of the given Python code snippet?,TRUE,FALSE,Error,No output,B,"not(10 < 20) is False and not(10 > 30) is True, so False and True results in False.",python58.png,"Beginner,Boolean"
What will be the output of the following Python code?,"[‘ab’, ‘cd’]","[‘AB’, ‘CD’]","[None, None]",none of the mentioned,A,"i.upper() returns a new string and does not modify the original list, so x remains unchanged.",python59.png,"Beginner,Loops"
What will be the output of the following Python code?,"[‘AB’, ‘CD’]","[‘ab’, ‘cd’, ‘AB’, ‘CD’]","[‘ab’, ‘cd’]",none of the mentioned,D,Appending to the list while iterating causes an infinite loop because the list keeps growing.,python60.png,"Intermediate,Loops"
What will be the output of the following Python code? ,1 2,1 2 2003,SyntaxError,none of the mentioned,C,There is a space between + and = causing a SyntaxError.,python61.png,"Beginner,Loops"
What will be the output of the following Python code?,1 2 3 4 5 6,1 2 3 4 5 6 7,error,none of the mentioned,A,"0O7 is octal for 7, so loop breaks when i reaches 7.",python62.png,"Intermediate,Loops"
What will be the output of the following Python code?,5 6 7 8 9 10,5 6 7 8,5 6,error,B,"0O11 is octal for 9, so loop breaks when i reaches 9, printing 5 to 8.",python63.png,"Intermediate,Loops"
What will be the output of the following Python code?,5 6 7 8,5 6 7 8 9,5 6 7 8 9 10 11 12 13 14 15 ….,error,D,"0O9 is invalid octal (9 is not valid digit), causing SyntaxError.",python64.png,"Intermediate,Loops"
What will be the output of the following Python code?,1,1 2,1 2 3 4 5 6 …,1 3 5 7 9 11 …,D,"i increases by 2, always odd, so condition never becomes true; infinite loop printing odd numbers.",python65.png,"Intermediate,Loops"
What will be the output of the following Python code?,2 4 6 8 10 …..,2 4,2 3,error,B,"i increments by 2; loop stops when i becomes 6, so output is 2 4.",python66.png,"Beginner,Loops"
What will be the output of the following Python code?,1,1 3 5 7 …,1 2 3 4 …,none of the mentioned,D,The loop never executes because condition is False.,,"Beginner,Loops"
What will be the output of the following Python code?,TRUE,FALSE,ERROR,none of the mentioned,C,"True is a reserved keyword and cannot be reassigned, causing SyntaxError.",python68.png,"Beginner,Loops"
What will be the output of the following Python code?,0 1 2 0,2000 1 2,error,none of the mentioned,B,"The loop breaks when i becomes 3, so else block does not execute.",python69.png,"Beginner,Loops"
What will be the output of the following Python code?,0 1 2 3 0,0 1 2 0,2000 1 2,error,B,"Loop ends normally, so else executes printing 0 after 0,1,2.",python70.png,"Beginner,Loops"
What will be the output of the following Python code?,a b c d e f,abcdef,i i i i i i …,error,D,"i is not defined, causing NameError.",python71.png,"Beginner,Loops"
What will be the output of the following Python code?,no output,i i i i i i …,a b c d e f,abcdef,A,"""i"" is not in ""abcdef"", so loop never executes.",python72.png,"Beginner,Loops"
What will be the output of the following Python code?,no output,i i i i i i …,a a a a a a …,a b c d e f,C,"""a"" is in x and never changes, so loop prints ""a"" forever.",python73.png,"Intermediate,Loops"
What will be the output of the following Python code?,no output,i i i i i i …,a a a a a a …,a b c d e f,B,"Condition is False because ""i"" is not in x, so loop never executes.",python74.png,"Intermediate,Loops"
What will be the output of the following Python code?,i i i i i i,a a a a a a,a a a a a,none of the mentioned,B,"x shortens from end but still contains ""a"" until it becomes ""a"", printing ""a"" six times.",python75.png,"Intermediate,Loops"
What will be the output of the following Python code?,a a a a a,a a a a a a,a a a a a a …,a,C,"x is not modified, so condition remains True and loop prints ""a"" infinitely.",python76.png,"Intermediate,Loops"
What will be the output of the following Python code?,a a a a a a,a,no output,error,B,"x loses first character each time, so loop runs once printing ""a"".",python77.png,"Intermediate,Loops"
What will be the output of the following Python code?,a a a a a a,a,no output,error,C,"x[1:] excludes ""a"", so condition is False and loop never executes.",python78.png,"Intermediate,Loops"
What will be the output of the following Python code?,a B C D,a b c d,A B C D,error,B,"Strings are immutable; x.upper() doesn’t modify x, so it prints original lowercase characters.",python79.png,"Beginner,Loops"
What will be the output of the following Python code?,a b c d,A B C D,a B C D,error,B,Each character is converted to uppercase and printed.,python80.png,"Beginner,Loops"
What will be the output of the following Python code?,a b c d,0 1 2 3,error,none of the mentioned,C,range() requires an integer; passing a string causes TypeError.,python81.png,"Beginner,Loops"
What will be the output of the following Python code?,a b c d,0 1 2 3,1 2 3 4,error,B,"len(x) is 4, so range(4) prints 0 to 3.",python82.png,"Beginner,Loops"
What will be the output of the following Python code?,a b c d,0 1 2 3,error,1 2 3 4,C,"i is an integer, so i.upper() causes AttributeError.",python83.png,"Beginner,Loops"
What will be the output of the following Python code snippet?,a b c d,0 1 2 3,error,none of the mentioned,C,i is an integer; calling upper() on integer causes AttributeError.,python84.png,"Beginner,Loops"
What will be the output of the following Python code snippet?,abcd,ABCD,error,none of the mentioned,A,"upper() returns new string but doesn’t modify x, so x remains unchanged.",python85.png,"Beginner,Loops"
What will be the output of the following Python code snippet?,abcd,ABCD,error,none of the mentioned,C,i is integer; i[x] is invalid and raises TypeError.,python86.png,"Beginner,Loops"
What will be the output of the following Python code snippet?,a,abcd abcd abcd abcd,a a a a,none of the mentioned,C,"x is set to 'a' every loop iteration, so it prints 'a' four times.",python87.png,"Beginner,Loops"
What will be the output of the following Python code snippet?,a,abcd abcd abcd abcd,a a a a,none of the mentioned,D,"It prints 'abcd' once, then 'a' three times, matching none of the options.",python88.png,"Intermediate,Loops"
What will be the output of the following Python code?,1 2 3,123,error,none of the mentioned,C,"Integers are not iterable, so the for loop raises a TypeError.",python89.png,"Beginner,Loops"
What will be the output of the following Python code?,0 1 2,a b c,0 a 1 b 2 c,none of the mentioned,A,Iterating over a dictionary yields its keys by default.,python90.png,"Beginner,Loops"
What will be the output of the following Python code?,0 1 2,a b c,0 a 1 b 2 c,none of the mentioned,D,"Iterating a dict yields keys, not key-value pairs, so unpacking raises a ValueError.",python91.png,"Intermediate,Loops"
What will be the output of the following Python code?,0 1 2,a b c,0 a 1 b 2 c,none of the mentioned,C,"d.items() yields key-value pairs, so x is key and y is value.",python92.png,"Beginner,Loops"
What will be the output of the following Python code?,0 1 2,a b c,0 a 1 b 2 c,none of the mentioned,B,"Loop iterates keys, then prints corresponding values.",python93.png,"Beginner,Loops"
What will be the output of the following Python code?,0 1 2,a b c,0 a 1 b 2 c,none of the mentioned,B,"d.values() returns the values, which are printed.",python94.png,"Beginner,Loops"
What will be the output of the following Python code?,0 1 2,a b c,0 a 1 b 2 c,none of the mentioned,D,"Values 'a','b','c' are not keys, so d[x] raises a KeyError.",python95.png,"Intermediate,Loops"
What will be the output of the following Python code?,0 1 2,None None None,error,none of the mentioned,C,"d is a set, which has no .values() method, causing AttributeError.",python96.png,"Intermediate,Loops"
What will be the output of the following Python code?,0 1 2,"{0, 1, 2} {0, 1, 2} {0, 1, 2}",error,none of the mentioned,A,Loop iterates over set elements; order may vary but prints each element once.,python97.png,"Beginner,Loops"
What will be the output of the following Python code?,0 1 2,0 1 2 0 1 2 0 1 2 ...,None None None,None of the mentioned,C,"set.add() returns None, so printing it prints None each time.",python98.png,"Intermediate,Loops"
What will be the output of the following Python code?,0,no output,error,none of the mentioned,B,"range(0) is empty, so loop body never executes.",python99.png,"Beginner,Loops"
What will be the output of the following Python code?,0.0 1.0,0 1,error,none of the mentioned,C,range() requires integer arguments; float causes TypeError.,python100.png,"Beginner,Loops"
What will be the output of the following Python code?,0.0 1.0,0 1,error,none of the mentioned,B,"int(2.0) converts to 2, so range(2) prints 0 and 1.",python101.png,"Beginner,Loops"
What will be the output of the following Python code?,0.0 0.1 0.2 0.3 …,0 1 2 3 …,0.0 1.0 2.0 3.0 …,none of the mentioned,D,float('inf') is not integer; range() raises TypeError.,python102.png,"Intermediate,Loops"
What will be the output of the following Python code?,0.0 0.1 0.2 0.3 …,0 1 2 3 …,0.0 1.0 2.0 3.0 …,none of the mentioned,D,int(float('inf')) raises OverflowError.,python103.png,"Intermediate,Loops"
What will be the output of the following Python code snippet?,1 2 3 4,4 3 2 1,error,none of the mentioned,B,"Slicing with -1 reverses the list, so it prints 4 3 2 1.",python104.png,"Beginner,Loops"
What will be the output of the following Python code snippet?,a b c d,d c b a,error,none of the mentioned,B,"reversed list is joined into 'dcba', so prints d c b a.",python105.png,"Beginner,Loops"
What will be the output of the following Python code snippet?,a b c d,d c b a,error,none of the mentioned,B,String reversed by slicing prints d c b a.,python106.png,"Beginner,Loops"
What will be the output of the following Python code snippet?,None,(nothing is printed),error,none of the mentioned,B,"Empty string has no characters, so loop never executes.",python107.png,"Beginner,Loops"
What will be the output of the following Python code snippet?,0 1 2 3,0 1,3 4,error,C,"range(x) is evaluated once as range(2); x increases inside loop, printing 3 and 4.",python108.png,"Intermediate,Loops"
What will be the output of the following Python code snippet?,0 1 2 3 4 ...,0 -2,0,error,B,range(2) runs twice; x becomes 0 then -2 and prints both.,python109.png,"Intermediate,Loops"
What will be the output of the following Python code snippet?,0 1 2 3 4 Here,0 1 2 3 4 5 Here,0 1 2 3 4,error,C,"break stops loop, so else block does not execute.",python110.png,"Beginner,Loops"
What will be the output of the following Python code snippet?,0 1 2 3 4 Here,0 1 2 3 4 5 Here,0 1 2 3 4,error,A,"i never reaches 5, so loop completes normally and else block runs.",python111.png,"Beginner,Loops"
What will be the output of the following Python code?,2000 1 2,error,0 1 2 0 1 2,none of the mentioned,A,"Generator yields values 0 to 2 once, then is exhausted.",python112.png,"Beginner,Loops"
What will be the output of the following Python code?,2000 1 2,error,0 1 2 0 1 2,none of the mentioned,A,"Generator is exhausted after first loop, so second loop prints nothing.",python113.png,"Intermediate,Loops"
What will be the output of the following Python code?,"m, y, , n, a, m, e, , i, s, , x,","m, y, , n, a, m, e, , i, s, , x","my, name, is, x,",error,A,"Loop prints each character with comma and space, including spaces.",python114.png,"Beginner,Loops"
What will be the output of the following Python code?,"m, y, , n, a, m, e, , i, s, , x,","m, y, , n, a, m, e, , i, s, , x","my, name, is, x,",error,C,"split() splits into words, so prints each word separated by comma.",python115.png,"Beginner,Loops"
What will be the output of the following Python code snippet?,0 1 2 3,0 1 2 2,3 3 3 3,error,B,"The loop changes the last element during iteration, so output becomes 0,1,2,2.",python116.png,"Intermediate,Loops"
What will be the output of the following Python code snippet?,0 1 2 3,0 1 2 2,3 3 3 3,error,A,"The first element is updated each iteration to current loop value, printing 0,1,2,3.",python117.png,"Intermediate,Loops"
What will be the output of the following Python code snippet?,-2 -1,0,error,none of the mentioned,C,"SyntaxError: ""for i not in a"" is invalid; for loop requires iterable.",python118.png,"Beginner,Loops"
What will be the output of the following Python code snippet?,"m, y, , n, a, m, e, , i, s, , x,","m, y, , n, a, m, e, , i, s, , x","my, name, is, x,",error,A,"join returns same string, so loop prints each character with comma and space.",python119.png,"Beginner,Loops"
